"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
42900564,"الاتحاد العثماني","Bayrūt","33.88894, 35.49442",4770057679,"Dimashq","33.5102, 36.29128",1,1,"alat7ad al3Umany"
173830042,"الطبيب",NA,NA,472450345,"Baghdād","33.34058, 44.40088",1,1,"alTbyb"
173830042,"الطبيب",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",1,1,"alTbyb"
263593774,"الطان","Paris","48.85341, 2.3488",472450345,"Baghdād","33.34058, 44.40088",1,1,"alTan"
297351216,"مجلة المجلات","London","51.50853, -0.12574",4770057679,"al-Qāhira","30.06263, 31.24967",1,1,"mjl0 almjlat"
472961896,"مجلة المجلات الفرنسية","Paris","48.85341, 2.3488",4770057679,"al-Qāhira","30.06263, 31.24967",1,1,"mjl0 almjlat alfrnsy0"
473817521,"المشرق","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",1,1,"almWrQ"
644997575,"الحقائق","Dimashq","33.5102, 36.29128",4770057679,"Dimashq","33.5102, 36.29128",1,1,"al7Qa5Q"
792756327,"الحسناء","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",1,1,"al7snaq"
931941685,"المقتطف","Bayrūt","33.88894, 35.49442",472450345,"Baghdād","33.34058, 44.40088",1,1,"almQtTf"
987291181,"الجنان","Bayrūt","33.88894, 35.49442",1588981,"al-Qāhira","30.06263, 31.24967",1,1,"aljnan"
987291181,"الجنان","Bayrūt","33.88894, 35.49442",472450345,"Baghdād","33.34058, 44.40088",1,1,"aljnan"
987291181,"الجنان","Bayrūt","33.88894, 35.49442",4770057679,"Dimashq","33.5102, 36.29128",1,1,"aljnan"
992611467,"التيمس","London","51.50853, -0.12574",644997575,"Dimashq","33.5102, 36.29128",1,1,"altyms"
992611467,"التيمس","London","51.50853, -0.12574",4770057679,"al-Qāhira","30.06263, 31.24967",1,1,"altyms"
1022938052,"العرفان","Ṣaida","33.55751, 35.37148",472450345,"Baghdād","33.34058, 44.40088",1,1,"al3rfan"
1034545644,"الزهور","al-Qāhira","30.06263, 31.24967",4770057679,"Dimashq","33.5102, 36.29128",1,1,"alzhwr"
1034548778,"المفيد","Bayrūt","33.88894, 35.49442",472450345,"Baghdād","33.34058, 44.40088",1,1,"almfyd"
1034548778,"المفيد","Bayrūt","33.88894, 35.49442",4770057679,"Dimashq","33.5102, 36.29128",1,1,"almfyd"
